Question,Answer
How many years of work experience do you have with Electronic Medical Record (EMR)?,7
How many years of work experience do you have with Disaster Recovery?,7
How many years of work experience do you have with Azure Cosmos DB?,5
How many years of work experience do you have with Relational Databases?,10
How many years of SCI experience do you currently have?,17
How many years of urn:li:industry:139 experience do you currently have?,15
How many years of work experience do you have with Agile Leadership?,15
How many years of work experience do you have with SwiftUI?,5
How many years of work experience do you have with JSON?,10
How many years of work experience do you have with HL7 Standards?,3
How many years of work experience do you have with SQL?,10
How many years of work experience do you have with Single Cell Sequencing?,1
How many years of work experience do you have with Renewable Energy?,3
How many years of work experience do you have with Cloud Development?,12
Are you legally authorized to work in the United States?,Yes
How many years of work experience do you have with Production Engineering?,7
How many years of work experience do you have with Full-Stack Development?,12
How many years of work experience do you have with Data Governance?,10
How many years of work experience do you have with Microsoft Dynamics?,0
How many years of work experience do you have with Customer Demos?,10
How many years of urn:li:industry:10 experience do you currently have?,5
Description,
How many years of PRJM experience do you currently have?,12
Major / Field of study,
How many years of work experience do you have with Data Intelligence?,17
Do you have the following license or certification: Perform Cloud Data Science with Azure Machine Learning?,Yes
How many years of work experience do you have with Web Design?,15
How many years of work experience do you have with Clojure?,3
How many years of work experience do you have with Medical Imaging?,5
How many years of work experience do you have with Programmable Logic Controller (PLC)?,3
How many years of IT experience do you currently have?,15
How many years of work experience do you have with Microsoft SQL Server?,5
How many years of work experience do you have with Prompt Engineering?,4
How many years of work experience do you have with Revit?,1
Do you have the following license or certification: Microsoft Certified Solutions Expert: Business Applications?,Yes
State / Province,
How many years of work experience do you have with Infrastructure as code (IaC)?,5
How many years of work experience do you have with PHP?,5
How many years of work experience do you have with Perl?,5
How many years of work experience do you have with SharePoint?,7
How many years of work experience do you have with Collaboration in Healthcare?,8
How many years of CNSL experience do you currently have?,15
Do you have a valid driver's license?,Yes
How many years of work experience do you have with Azure Databricks?,2
Do you have the following license or certification: Developing ASP.NET MVC Web Applications?,No
Please submit a resume or LinkedIn profile,632031959.pdf
How many years of work experience do you have with API Development?,15
How many years of work experience do you have with Deep Learning?,7
How many years of work experience do you have with Fast Healthcare Interoperability Resources (FHIR)?,5
How many years of work experience do you have with C#?,7
How many years of work experience do you have with ClientSuccess?,12
Company,
Race/Ethnicity,White (Not Hispanic or Latino)
How many years of work experience do you have with Oracle HR?,0
Last name,
How many years of work experience do you have with Microsoft Server Technologies?,12
How many years of work experience do you have with Microsoft Products?,15
How many years of work experience do you have with Data Center Infrastructure?,11
Do you have the following license or certification: Microsoft Certified Solutions Expert: Business Applications Certification?,Yes
How many years of work experience do you have with Product Sales?,8
How many years of work experience do you have with Clinical Research?,5
How many years of work experience do you have with .NET Framework?,13
Degree,
Do you have the following license or certification: urn:li:credential:20359?,Yes
How many years of work experience do you have with Microsoft Dynamics CRM?,2
How many years of work experience do you have with Customer Engagement?,15
How many years of work experience do you have with ASP.NET?,7
How many years of work experience do you have with Executive Reporting?,10
How many years of urn:li:industry:4 experience do you currently have?,15
How many years of work experience do you have with People Management?,10
Do you have the following license or certification: urn:li:credential:20065?,Yes
How many years of work experience do you have with AWS Cloud Migration?,10
How many years of work experience do you have with Agile Methodologies?,15
How many years of work experience do you have with AWS Glue?,4
How many years of work experience do you have with Cloud Computing IaaS?,11
How many years of work experience do you have with Oracle Identity Manager?,5
<strong>Disability</strong>,Yes
How many years of work experience do you have with Agile Development?,15
How many years of work experience do you have with Troubleshooting?,15
Your title,
How many years of work experience do you have with Enrichment?,13
How many years of work experience do you have with IT Operations Management?,13
How many years of work experience do you have with Pharmacy Benefit Management?,3
How many years of work experience do you have with Cyber-security?,7
How many years of work experience do you have with Agile Application Development?,12
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of work experience do you have with MySQL?,6
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Data Products?,12
How many years of work experience do you have with Microsoft Word?,20
How many years of work experience do you have with Epic Systems?,3
How many years of work experience do you have with Applied Machine Learning?,12
How many years of work experience do you have with Java Frameworks?,6
